,job_id,employer_name,job_publisher,job_employment_type,job_description,job_title,job_city,job_state,job_country
1429,YiBa63T_bbVv_khlAAAAAA==,Primer Group,Glassdoor,FULLTIME,"The Visual Merchandising Associate implements window and product displays inside the store. Implements budget by gathering reports on expenses and coordinating with contractors and suppliers to ensure timely completion of deliverables. He also conducts store visits and monitors opening setups/redecoration of store displays.

Responsibilities
• Implements window and product displays in all company-owned stores, corners and exhibits with the objective of enhancing product and competitive image, visual impact and customer purchase;
• Generating sketches of visual displays that meet the store's visual design requirements. Finalizing designs and creating detailed floor plans for display areas.
• Highlights and designs product visibility based on factors such as relative profitability, local acceptability, urges and impulse tendencies, or other factors in close coordination with marketing.
• Implements budget by gathering reports on expenses associated with visual conceptualization and execution.
• Coordinates with contractors and suppliers and ensure timely completion of deliverables;
• Monitors all phases of new store opening setups/refurbishment from: Visual merchandising, project/timeline management, initial concepts, creative, layouts, production, VM props procurement & inventories, capex planning & management, logistics & delivery from initial/implementation/execution till final completion.
• Conducts store visits to monitor store displays on a periodic and on need basis.
• Helps in training and communication in the execution of planograms and other visual merchandising initiatives

Minimum Requirements/Qualifications
• Graduate of any 4 year course related to design, fine arts, or visual merchandising
• With or without experience; Open for fresh graduates",Visual Merchandising Associate,Maynila,NCR,PH
1430,M0EJD5K6sjVcLlP_AAAAAA==,Parfums Christian Dior (PCD),Indeed,FULLTIME,"Company Description

THE CONTEXT _________

Since 1947, the men and women of Parfums Christian Dior have embodied the founding ""couturier-perfumer's"" unique spirit of excellence, creativity and expertise, both in France and throughout the world. Our House is an open and highly-focused collective, a leader that thrives on the creativity of all its stakeholders. Our collective passion and our heritage, full of authenticity and dream, make us move forward and reinvent ourselves.

By revolutionizing the codes of French style and luxury through perfumes, and combining tradition with daring makeup and innovative skincare, we are reinventing every day the Dior style and its compelling, joyful and absolute beauty. Our stimulating missions give our employees the opportunity to develop new skills, overcome spectacular challenges and reveal their talent.

To go further, with Dior.

Job Description

Main Responsibilities:

ANIMATION & PRODUCT LAUNCHES
• Align the brand direction for each launch with the regional vision to ensure relevant visual merchandising outcomes that supports the marketing strategy.
• To submit forecasting of launch POSM and testers based on marketing priorities and budget.
• Design and create visual merchandising displays based on launches needs in all POS and to manage the production and delivery to stores.
• Consolidate POSM orders that requires local fabrication for all launches.
• Update planogram for all stores and formats based on Merchandising plan and aligning with Marketing team.
• Preparation of visuals for various formats utilizing brand guidelines and manage vendors in the process and ensure visuals are installed on planned launch date.
• Preparation of comprehensive and clear launch fitting guide relevant for all stores for BC to follow.
• To provide asset creation and graphic layout for all launches and related market event setup.
• Consolidate launch reports for submission to Regional team and photos update on Flash report.
• To submit Sephora VM planograms for every launch changeover.
• To work with suppliers on VM POSM production for animation and events setup.
• Setup of animation and events.

OPENINGS/ RENOVATION
• To create a store brief when there is a new store opening or renovation.
• To plan the visual merchandising aspects of a new store by preparing the planogram, category organization and visual elements of the store.
• Assist in sourcing and ordering of merchandising elements, manage the production processes, timeline and quality.
• Align store’s needs with regional direction in the presentation of products and visuals.
• Preparation of comprehensive and clear store opening fitting guide for setup team to follow.

FORECASTING, INVENTORY MANAGEMENT & BUDGET
• To manage long-term planning for planograms based on the product assortment plan to identify POSM needs and allocation for PH network.
• To consolidate and submit forecasting of generic and permanent POSM based on above, while validating warehouse stock levels to ensure accurate forecast.
• Track status of orders and ensure timely delivery of POSMs to each store.
• Work with logistics team to align allocation plans for markets and ensure healthy POSM stock levels.
• Manage local production to fulfill store needs where necessary.
• Manage and track cost spending with every launch VM (F24, F27) budget.

Qualifications
• Bachelor's degree with a Minimum 10 years of working experience in a related field
• Professional proficiency in English
• Experience in people management positions and led a team
• Excellent communication & presentation skills, both written & verbal
• Good time management, ensuring all reports and projects are done in a timely manner
• Knowledge of retail trends and consumer behavior, with a passion for staying updated on industry developments.
• Experience in Visual Merchandising/In-store design
• Good project management skills & ability to work with medium to large team
• High Resilience and agility with creative and problem-solving mindset",Visual Merchandising Manager - Philippines,Maynila,NCR,PH
1431,0K0fx80PMsK9pIauAAAAAA==,Triumph Group,LinkedIn Philippines,,"Triumph is one of the world’s largest intimate apparel companies. It enjoys a presence in over 80 countries with the core brands Triumph® and sloggi®. Globally, the company serves 20,000 wholesale customers and sells its products in more than 2,300 controlled points of sale as well as via several own online shops. The Triumph Group is a member of the amfori Business Social Compliance Initiative (amfori BSCI).

Learn more about Triumph on:

www.triumph.com

www.facebook.com/Triumph/

www.instagram.com/Triumph/

www.linkedin.com/company/triumph-international/

Our Product Management Department in Makati City, Philippines is looking for a

HEAD OF BUYING & MERCHANDISING

PURPOSE OF THE JOB

The Head of Buying and Merchandising is responsible for managing the sales budgets and forecasts for intimate apparel brands. Her job involves overseeing the product portfolio, building brand equity, selecting merchandise for the market, and increasing market share by commercializing consumer insights across all consumer touchpoints.

GENERAL DUTIES AND RESPONSIBILITIES

Drive Sales and Margins:

1. Leads her team to establish product strategies to achieve targets in terms of BQ (Billing Quantity), NS (Net sales), SPM (Sales Profit Margin) and GMIR (Gross Margin Inventory Return)

2. Manage and expand product portfolio based on market growth strategies and regional brand merchandising guidelines.

3. Work with the sales team to drive product/concept launches.

4. Work with the Demand Planning team to ensure stock sufficiency of products.

5. Work with the Marketing and VM team based on launch plans.

6. Collaborate with the Head of Demand to establish and achieve sales budgets and forecasts for Triumph and sloggi brands based on historical data and growth considerations, as outlined in the approved MTP and Commercial plan.

7. Stay current on new brands and trends. Monitor competitors for pricing and product launches.

8. Develop effective promotional campaigns that increase sales while maintaining profitability.

Master data management and system integration for various IT issues and projects

1. Consolidate and verify all data from the team for sales budgeting and stock management. Coordinate between data management and demand planning team.

2. Ensure accurate and precise business analysis and reports to all related parties.

Optimize Product Assortment/Range & New Product Development

1. Optimize product assortments across key touch points to acquire and retain targeted consumers at highest SPM%, NS, & BQ possible and ensure enough range/styles to meet business objectives.

2. Identify current gaps in product assortment.

3. Define coherent price structure and strategies for all assortments.

4. Gather feedback regularly and systematically from SEs and SAs on new product selections & improvements on current products.

Inventory Management

1. Actively manage PLC to keep brand inventory within target SOH.

2. Plan and execute promotions to drive sell-through rates.

Administration and Reports

1. Ensure on-time submission of all reports to the Regional Office and share locally with concerned teams.

2. Follow through the timely administration to ensure the Business Central (BC) system captures the right information (e.g. listing, new material creations, promotion price off, PLC assignment)

3. Be actively involved in the preparation of the budget.

4. Provide regular new product/running products information to the sales, and training team.

Regional Meetings

1. Attend and participate actively in regional meetings to ensure local market interest is well-presented.

2. Ensure new launch feedback is given to the Regional Office for future reference and development.

Leadership

3. Coach and supervise the work of direct report(s) and advance their growth and learning.

Others

4. Any other ad-hoc reports, initiatives, and projects assigned.

Your ideal profile:
• 10 years’ professional work experience in the field of Product Management, Assortment Planning and Buying Merchandising in Fashion Retail/ Apparel, inclusive of 3 years leadership/ management experience.
• Proven track record in Buying for Retail channel and experienced in handling large number of SKUs.
• Excellent interpersonal & communication skills in English and Tagalog.
• College graduate preferably in Business Management, Marketing, Industrial or its equivalent
• IT proficiency, strong in excel and knowledge in powerpoint
• Organized, disciplined, detailed capabilities, responsible, with leadership qualities and a team player.

We offer:

You will never walk alone

As a family owned business with more than 135 years of experience, Triumph embraces diversity throughout our global organization. Currently, our offices are present in over 40 countries across Europe and Asia having many international teams collaborate together every day. Guiding our corporate behaviors are respect and value for our employees, but also Collaboration as one of our key Corporate Competencies, being a core part of our every day working environment.

Make a Difference, together

The future belongs to our children. At Triumph, we want to be proud of our commitment to building a sustainable society and protecting the environment, and we work everyday to ensure our products are manufactured in an sustainable way. This is our vision: We want to be a company that is characterized by responsible leadership and consideration for future generations and that cares for the legacy that we leave behind to our children.

Putting People at the center

At Triumph we are committed to our employees, they represent the foundation for our success. This means that as a company, we are driven to offer great career opportunities in a dynamic fast-paced organization. Our HR function across the globe strives to support our employees in their development, through our Triumph Learning Academy

We continuously strive to recruit new talent, offering them one of the textile industry’s most international working environments, excellent conditions and great development opportunities in a company still owned and managed by the founding families. Our headquarters employs people from more than 30 nationalities and as a European company, we are present in many key markets in Europe, like Germany, Italy, France and growing in Eastern Europe. We are proud to have become one of the leading players in Asia very early on, in countries like Japan, China and Singapore, as well as being an employer that people aspire to work for. As a company serving women, we fundamentally believe in gender equality and diversity. Women make up more than 50% of our company’s workforce. In the last years, we have had a specific and successful drive to increase the number of women in management.

Triumph is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, colour, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.

If you are seeking a great opportunity to develop your career, please send us your CV in English by clicking on Apply.",Head of Merchandising & Buying,Makati,NCR,PH
1433,jqJjt4vP4-eKMbJvAAAAAA==,"UpSkill MNL, Inc.",Indeed,FULLTIME,"Job Qualifications:
• 3 months experience in Merchandising
• Willing to train
• At least High School Graduate in ALS or Senior High School
• Can do roving work

Job Type:
• Full-time

Salary:
• Php13,000.00 - Php14,000.00 per month

Outlets:
• SSG Sta. Ana, Topway Mandaluyong, Winwin, Cligan, Fortune Mart 

Perks: Paid transportation + 5k signing bonus!

Job Type: Full-time

Benefits:
• Opportunities for promotion
• Promotion to permanent employee

Schedule:
• 8 hour shift

Supplemental pay types:
• 13th month salary
• Overtime pay

Education:
• Senior High School (Preferred)

Experience:
• Merchandiser: 1 year (Preferred)",Roving Merchandiser,Maynila,NCR,PH
1434,mzXMmgvlAfvPAcUEAAAAAA==,Atlantis Consulting,Career Page,FULLTIME,"Job Title: Merchandising Operations Manager - FMCG, Food and Beverage

Company: FMCG Distributor

Location: Pasig City

Position Type: Full-time

Headcount: 1

Reporting to: General Manager

Job brief:

Join our client's team as the Merchandising Operations Manager and embark on an exciting journey overseeing their vibrant Merchandising Operations Department! In this role, you'll lead a dedicated team of merchandisers, coordinators, and back-end experts, guiding them to exceed retail fundamentals and key performance indicators (KPIs). Your efforts will not only drive their retail sales channel forward but also cultivate a culture of motivation and growth within your team. Come be a part of our clients dynamic environment where your leadership will make a tangible impact on their success!

Responsibilities:
• Team Development - Nurturing and empowering the entire team through mentorship and developmental initiatives to unlock their full potential and maintain high motivation in fulfilling their roles and responsibilities.
• Policy and Process Oversight - Crafting, implementing, and upholding in-store merchandising requirements, policies, and processes to uphold retail standards. Continuously evaluating and enhancing these procedures to optimize efficiency, productivity, and revenue-generating activities.
• Manpower Acquisition - Collaborating with our merchandising agency to ensure timely recruitment and strategic deployment of merchandisers and coordinators across stores for maximum effectiveness.
• Manpower Retention - Partnering with our merchandising agency and internal team to retain, train, motivate, equip, and incentivize our merchandisers and coordinators while safeguarding the quality of their work.
• Quality Assurance - Guaranteeing adherence to retail fundamentals for each brand and category, including the precise execution of planograms, marketing initiatives, and strategic product placement to enhance customer experience and drive sales.
• Field Inspections - Conducting thorough trade visits to ensure flawless execution and identify growth opportunities within the market.
• Data Analysis - Utilizing sales data analysis, including topline sales and returns, to evaluate individual team members' performance against KPIs and drive informed decision-making.
• Total Company Alignment - Ensuring alignment across all products and categories within our company, fostering synergy and coherence in merchandising efforts to optimize overall performance and drive comprehensive business growth.

Requirements:
• Experience managing sizable manpower, especially in supervising at least 200 merchandisers, showcasing adept leadership.
• Demonstrated commitment to fostering a supportive workplace culture, prioritizing employee well-being and development.
• Proven proficiency in negotiation, with a focus on cultivating strategic partnerships and enhancing brand visibility.
• Extensive expertise in FMCG operations, facilitating effective operational management and optimization.
• Established track record in building strategic relationships with major accounts to bolster brand presence and ensure product availability.

﻿

The company is a significant player in a niche FMCG market, emphasizing career progression opportunities.

If you are a dynamic Merchandising Manager with a background in Fast-Moving Consumer Goods (FMCG) and are ready to take on the challenge of driving success in various product categories, submit your resume to ariel.cabada@atlantisconsulting.ph or click ﻿the ""Apply"" link below.

#Merchandising #MerchandisingManager #FMCG #JobOpportunity #AtlantisConsulting","Merchandising Manager - FMCG, Food and Beverage",Pasig,NCR,PH
1435,Btei_F35UKDWtLZBAAAAAA==,KHMPC Agency (To be assigned at Torres Foodline),Indeed,FULLTIME,"• At least High school graduate, vocational graduate
• With at least 6 months experience as Merchandiser
• Well organized and detailed-oriented
• With pleasing personality
• Willing to work as roving merchandiser

Areas:
• Pasig
• Paranaque
• Quezon City
• Ermita
• Antipolo
• Cainta

Job Types: Full-time, Contract

Schedule:
• 8 hour shift
• Shift system

Experience:
• Merchandising: 1 year (Preferred)

Willingness to travel:
• 100% (Preferred)",Roving Merchandisers,Maynila,NCR,PH
1436,T_iWC7Fs0hvgVBOBAAAAAA==,Legend of Ice Recruitment & Services Inc.,Indeed,FULLTIME,"• At least College level or Vocational course
• Proven working experience in merchandising
• Highly creative with experience in identifying target audiences and devising campaigns that engage, inform and motivate
• Up-to-date with the latest merchandising trends and best practices
• Excellent verbal and written communications skills
• Strong listening, presentation and decision making skills
• Commercial acumen and the ability to “decode” customers
• Collaborate with buyers, suppliers, distributors and analysts to negotiate prices, quantities and time-scales
• Maximise customer interest and sales levels by displaying products appropriately
• Produce layout plans for stores and maintain store shelves and inventory

Job Types: Full-time, Permanent

Pay: From Php15,860.00 per month

Schedule:
• 8 hour shift

Supplemental pay types:
• 13th month salary
• Overtime pay",Merchandiser,Maynila,NCR,PH
1439,TOjw0JsG6Q8vJrccAAAAAA==,"Global Headstart Specialist, Inc.",Global Headstart,FULLTIME,"Qualifications
• Must be College Graduate of any 4-Year course
• With Previous experience in any of the following categories
• Fashion, Infants, Toys, Cosmetics, Home, Hardware
• Knowledge in using JDA-MMS is a PLUS
• Proficient in using Microsoft word and Excel
• Experience in Lazada, Shopee, Zalora and Shopify
• Willing to work On-Site, Makati City, Philippines
• Monday - Saturday

Job Responsibilities
• Maintains and manages merchandise mix for the category handled.
• Liaise with vendors for new products, price updates, stock availability.
• Manages order replenishment of sellable merchandise at the marketplaces.
• Monitors purchase orders and deliveries.
• Organizes product details for marketplace enrollment.
• Researches on latest trends in the market
• Works with the Ecommerce Manager to increase sales and profitability of the Ecommerce segment of the company.",Ecommerce Merchandiser,Makati,NCR,PH
1441,qVTOjeSsp7HC1ymXAAAAAA==,Robinsons Appliances Corporation,LinkedIn Philippines,,"Job Summary:

Delivers category target on Sales, Gross Margin and Other Income while maintaining the right inventory in stores. Responsible for buying the proper merchandise at the right place, quantity and terms. Analyzes concessionaires and item off take and recommends programs to improve business performance. Submits reports on store visits/competitive shopping and prepares reports such as business reviews with suppliers and category reviews for the management committee.

Responsibilities:

Category Sales Target Achievement
• Delivers achievement of 100% sales target of the assigned category.
• Sources and develops new local and international suppliers (outright and concessionaires) to ensure category merchandise assortment is updated with local and international trends.
• Ensures that the top fast movers and best sellers (outright and concessionaire) are present in all stores.
• Coordinates with Store Operations on product display, promotions and special deals execution to ensure that all merchandising plans are properly implemented in store.

Category Gross Margin and Other Income Target Achievement
• Delivers 100% achievement of category Gross Margin and Other Income targets.
• Maintains category margins and monitors closely prices of critical fast moving sku's ensuring that no item is sold below cost.
• Practices proper margin balancing.
• Encodes rebate, enlistment fees and other deductions from suppliers including contract application of concessionaires.
• Negotiates additional discounts (permanent/tactical) to augment margins.

Vendor Management
• Reviews and assesses vendor (outright and concessionaire) sales and support in stores; takes appropriate remedial action where necessary.
• Builds good business relationship and rapport with vendors ensuring that the vendors are updated of the BU's developments enabling them to meet on-going demands.

Inventory Management
• Monitors and analyzes merchandise and provides sound recommendations for the said items.
• Performs item forecasting with vendors.
• Performs regular purging schedule and follows 1 in, 1 out in all new buys.

Requirements:
• Must be at least a Bachelor's/College Degree in BS Management, Marketing, Commerce or equivalent.
• Preferably with 1-3 years of Merchandising experience in a service-oriented company.
• Good communication and interpersonal skills
• Must be willing to be assigned in Head Office at Libis, Quezon City","Assistant Buyer - Merchandising (Libis, QC)",Lungsod Quezon,NCR,PH
1442,z5mT0AZzmgEJc_VlAAAAAA==,"Ace Hardware Philippines, Inc.",Glassdoor,FULLTIME,"• University degree holder – Industrial Engineering or business-related course
• At least 1-2 years of experience in similar or related function under stores, retail or trade marketing

RESPONSIBILITIES:
• Handle distribution of both Ace branded and local items to stores
• Conduct quantity forecasting for both new and existing items
• Process replenishment orders for selling at stores
• Gather data and generate reports relevant to merchandising operations

Job Types: Full-time, Permanent

Pay: Php23,000.00 - Php25,000.00 per month

Benefits:
• Employee discount
• Opportunities for promotion
• Paid training
• Pay raise

Schedule:
• 8 hour shift
• Monday to Friday

Supplemental pay types:
• 13th month salary
• Bonus pay
• Overtime pay",Merchandising Officer / Analyst,Pasay,NCR,PH
1443,9hwtIZXjdhPQHb3WAAAAAA==,PUMA Gruppe,Jooble,FULLTIME,"SPEED & SPIRIT is what we look for in our candidates, defined by some simple values that inspire us to BE DRIVEN in our performance, BE VIBRANT in our sporting legacy, BE TOGETHER in our team spirit, and BE YOU to let our individual talent and experience shine. Applying for a job at PUMA is easy. Simply click APPLY ONLINE and follow the steps to upload your application.
Your Talent
• Bachelor Degree, preferably with business degree
• Minimum 3 years retail / merchandising experience in a fashion / branded / FOC retail environment
• Excellent written and verbal communication skills.
• Excellent analytical and problem solving skills
• Ability to take balanced risks, strong entrepreneurial spirit with decisive attitude
• Proven competencies in retail math and understanding of what drives business- and store performance
Your Mission

• Together with the Merchandising Manager, responsible for delivering an in-season strategy and building the most profitable, balanced, customer focused range for the country which reflects the PUMA Brand Strategy and supports any key country strategies
• Accountable for managing the in-season trading of the business in a way where inventory is managed efficiently and required trading decisions are made and communicated to stakeholders
• Execution of seasonal FOC buy
• Involve in assortment based on market/store/customer profile, participate in seasonal kickoff meetings to ensure product relevance, ensure right product mix with targeted division/product category in mind
• Assist in submission of seasonal orders
• Ensure the buy based on analysis of the historical data/sell through
• Involve in review seasonal collection performance vs expectations and in analysing consumer buying patterns, predicting future trends
• Effective and efficient in-season rollout
• Collaborate with VM & Retail Operations to ensure seasonal rollout is aligned with Global/ SEA direction
• Garner feedback from Brand ambassadors on shop floor to enhance on pre-season planning.
• Be close to market to monitor direct competitors against Brand's position in terms of pricing, product, technology, Hero items.
• Ensure timely rollout of monthly launches and product assortment plan prior launch of a season
• To ensure incoming new stocks to be launched responsible doors in a timely manner
• To execute accurate replenishment and to ensure stock holding is in healthy level
• To manage stock consolidation in between stores to reduce slow moving merchandise quantity
• To work closely with Country Logistic team and to be more pro-active to plan product ranges, give delivery forecast, check shipment status of incoming stocks, delivery schedules
• Partner with Country Planner in Weekly/ Monthly allocation and replenishment plans
• Pricing and Promotion setup in system
• Touch base weekly/monthly with VM/ Retail Ops/ Content Team to reaffirm on RESEC/ OSEC/ EC BANNER
• Participate in monthly SIC meeting / Walk the stores/retail visit bi-monthly
• Align best practices across territory
• Adhere to existing best practices and ensure it is consistently rolled out in different partner doors/ Platform
• Process Improvement
• To process monthly inventory projection report together with Country Planner
• To manage unproductive inventory and develop creative pricing programs for clearance or markdown
• To strategize annual EOSS events and Ad Hoc promotions/ activations to boost sell-through
• Working with Logistics to ensure timely deliveries of merchandise

PUMA provides equal opportunities for all job applicants, regardless of race, color, religion, national origin, sex, gender identity or expression, sexual orientation, age, or disability. Equality for all is one of the core principles at PUMA and we do not tolerate any form of harassment or discrimination.

PUMA supports over 16,100 employees across 120+ countries. The PUMA Group owns the brand PUMA, Cobra Golf and stichd, and is headquartered in Herzogenaurach, Germany.

There's so much to do and so much to see in South East Asia – like PUMA SEA
#J-18808-Ljbffr","SENIOR EXECUTIVE, RETAIL MERCHANDISING Retail Management / Operations Makati City, Philippines",Makati,NCR,PH
1444,AXKr8Jd3DTOji4AXAAAAAA==,Talentview for Alfamart Trading,Indeed,FULLTIME,"ABOUT US:

Being part of a dynamic organization is one of the secrets to career success. Alfamart is the first and only Super Minimart in the Philippines that is designed to serve the needs of local Filipino neighborhoods and communities. Join the fastest-growing chain as we expand across the Philippines!

Who are we looking for:

As a Merchandising Assistant, you are expected to provide administrative support to the purchasing and inventory processes of merchandise. Assist in providing item information to be presented in buying sessions.
• Merchandising assistants support their employer’s merchandising efforts.
• Merchandising assistants keep tabs on information and enter it into computer systems for reference. They may track inventory, monitor shipments, note pricing, spell out vendor terms, process invoices, and handle purchase orders.
• Assemble data, look for patterns, and write reports or create electronic presentations on their findings
• Store inventory analysis

What does it take to be part of the team?
• Candidate must possess a Bachelor's degree in Business Administration, Operation Management, Office Administration, Business Management, or equivalent courses
• Exposure to vendor relations and forecasting in the retail industry is an advantage
• Good interpersonal skills, assertiveness, and energy.
• Fresh graduates are welcome to apply.
• Analytical and critical thinking skills
• Fresh Graduates are welcome to apply!
• Willing to be assigned in: PASAY CITY

Join the Alfamart Team now! Always here for you!

To know more about us, visit https://www.alfamart.com.ph/

Job Types: Full-time, Fresh graduate

Benefits:
• Employee discount
• Opportunities for promotion
• Promotion to permanent employee

Schedule:
• Day shift

Supplemental pay types:
• 13th month salary
• Bonus pay",Merchandising Assistant | Manila,Maynila,NCR,PH
1445,IhDIH1plqQsM9ag5AAAAAA==,Meera Enterprises Inc.,Glassdoor,FULLTIME,"DUTIES AND RESPONSIBILITIES
• Assist the Creative Supervisor in producing various lay-out for all social media platforms
• Assist the Visual Merchandising Supervisor in monitoring the visual merchandising requirements.
• Monthly store round schedules
• Monitoring project status from conceptualization, production to installation/final execution
• Sourcing for the most appropriate suppliers that can meet our requirements.
• Recycling program

JOB SPECIFICATIONS
• At least College graduate, Fine arts, Multi media Arts or any related courses
• With minimum of 5 years experience in graphic design & visual merchandising in any retail industry
• Proficient in AutoCAD, Sketch-up, Adobe software (Photoshop, Illustrator, Lightroom or any related programs
• Design skills and Knowledge
• Attention to details
• Analytical Thinking
• Organization skills
• Communication skills
• Know the basic skills of photography.
• Job Type: Full-time

Pay: Php20,000.00 - Php25,000.00 per month

Benefits:
• Employee discount
• Health insurance

Schedule:
• 8 hour shift

Supplemental pay types:
• Bonus pay

Experience:
• Creative and Visual Merchandising: 5 years (Required)

Ability to Commute:
• Makati City (Required)

Ability to Relocate:
• Makati City: Relocate before starting work (Required)",Visual Merchandiser Specialist,Makati,NCR,PH
1446,qbJQuCt6n7M6gdkQAAAAAA==,Suntouch Tecnology Corporation,Indeed,FULLTIME,"Job Description:
• Produce sales by providing point-of-purchase and shelf management services. You will get the right product, in the right place, time, quantity and price.

Responsibilities
• Plan and develop merchandising strategies that balance customers’ expectations and company’s objectives
• Analyze sales figures, customers’ reactions and market trends to anticipate product needs and plan product ranges/stock
• Collaborate with buyers, suppliers, distributors and analysts to negotiate prices, quantities and time-scales
• Maximize customer interest and sales levels by displaying products appropriately
• Produce layout plans for stores and maintain store shelves and inventory
• Forecast profits/sales and plan budgets
• Monitor stock movement and consider markdowns, promotions, price changes, clear outs etc.
• Build constructive customer relationships and team with channel partners to build pipeline and close deals
• Remain up to date with industry’s best practices

Requirement and skills:
• Proven working experience in merchandising
• Highly creative with experience in identifying target audiences and devising campaigns that engage, inform and motivate
• Up-to-date with the latest merchandising trends and best practices
• Excellent verbal and written communications skills
• Strong listening, presentation and decision making skills
• Commercial acumen and the ability to “decode” customers
• BS degree in Marketing or related field

Job Type: Full-time

Pay: Php570.00 - Php600.00 per day

Schedule:
• 8 hour shift

Supplemental pay types:
• 13th month salary
• Overtime pay

Ability to commute/relocate:
• Manila: Reliably commute or planning to relocate before starting work (Required)

Education:
• Senior High School (Preferred)

Experience:
• Merchandiser: 1 year (Preferred)

Application Deadline: 09/15/2022
Expected Start Date: 09/15/2022",Merchandiser,Maynila,NCR,PH
1448,0-T-kqOXwEzxbV1kAAAAAA==,Demopower Philippines Inc.,Glassdoor,FULLTIME,"Job Description
• Candidate must possess at least a Bachelor's/College Degree in any related field.
• At least 3-5 year(s) of working experience in Manpower/Agency/Marketing Industry or any related field
• Excellent written and oral communication skills.
• With experience in Servicing FMCG industries

Job Benefits
• Competitive Salary
• Monthly commissions
• Quarterly and Annual Incentives
• HMO and Accident Insurance Leaves (15 days VL, 15 days SL up to a maximum of 60 days)
• Birthday Leave
• Monday – Friday , Flexible Schedule
• Allowances

Job Type: Full-time

Pay: Php45,000.00 - Php50,000.00 per month

Benefits:
• Flexible schedule
• Free parking
• On-site parking

Schedule:
• 8 hour shift
• Day shift
• Flextime
• Monday to Friday

Supplemental pay types:
• 13th month salary

Ability to Commute:
• Quezon City (Required)

Ability to Relocate:
• Quezon City: Relocate before starting work (Required)",Sale Manager(Manpower Agency- Activation/Merchandising-FMCG),Lungsod Quezon,NCR,PH
1449,HZR2-sMa11VXzlmIAAAAAA==,"BLIMS LIFESTYLE GROUP, INC.",Kalibrr,FULLTIME,"• Process orders, schedule deliveries and interact day-to-day with suppliers to ensure the smooth flow of merchandise.
• Transmit relevant information to various departments.
• Maintain and update the files of the Merchandising Department.
• Coordinate stocks and delivery between supplier and Company.
• Price Made-to-Order items with the approval of Supervisor.
• Prepare quotations for customers (upon branch request).
• Remove discontinued items from the system.",Merchandising Associate,Mandaluyong,NCR,PH
1450,-3MrnxrrkiW5FMKxAAAAAA==,"Metro Tiles, Inc.",Indeed,FULLTIME,"WHO WE ARE:

Metro Tiles, Inc. is a licensed importer, wholesaler and retail, distributing tile merchandise nationwide to residential projects and high rise commercial projects. Our product lines comes from China and Italy's biggest suppliers who share the same vision for excellence and houses a workforce of experts in the field of architecture and design.

Our vision is to provide top of the line materials and impeccable service to the customers. Our goal is to offer customers a choice.

Be part of our team!

DUTIES AND RESPONSIBILTIIES:
• Creating and implementing a visual merchandising strategy for the store.
• Ensuring the strategy is in line with the store’s brand, products, and target market.
• Generating sketches of visual displays that meet the store’s visual design requirements.
• Finalizing designs and creating detailed floor plans for display areas.
• Sourcing the props, creative materials, and accessories for displays.

QUALIFICATIONS:
• Bachelors degree or equivalent in any related field.
• Previous experience of at least 2 years in Visual Merchandising.
• Strong customer service orientation and excellent communication skills.
• Comprehensive portfolio of relevant visual design work.
• Experienced at using Adobe Creative Suite programs, such as Illustrator, Photoshop, InDesign, or other visual design tools.
• Proficiency in MS Office Suite.
• Working knowledge of current visual merchandising trends and best practices.
• Ability to analyze sales merchandising reports and survey results.
• Strong communication and interpersonal skills.
• Flexible working hours, including evenings and weekends.
• Willing to be assigned in Quezon City.
• Can start ASAP.

OFFICE ADDRESS:

228 Tomas Morato Ave. corner Scout De Guila St. Quezon City Philippines

Job Type: Full-time

Pay: Php22,000.00 - Php23,000.00 per month

Benefits:
• Company Christmas gift
• Company events
• Health insurance
• Promotion to permanent employee

Schedule:
• 8 hour shift

Supplemental pay types:
• 13th month salary

Ability to commute/relocate:
• Quezon City: Reliably commute or planning to relocate before starting work (Required)",Visual Merchandising Officer,Lungsod Quezon,NCR,PH
1451,1ZqN9aoo90YINhPqAAAAAA==,Demopower Philippines Inc.,Glassdoor,FULLTIME,"• Candidate must possess at least a Bachelor's/College Degree in any related field.
• At least 3-5 year(s) of working experience in Manpower/Agency/Marketing Industry or any related field
• Excellent written and oral communication skills.
• With experience in operations in a merchandising and activation in business.

Job Type: Full-time

Benefits:
• Free parking
• On-site parking
• Pay raise

Schedule:
• Day shift
• Monday to Friday

Supplemental pay types:
• 13th month salary",OPERATION MANAGER (Merchandising/Activation),Lungsod Quezon,NCR,PH
